epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,528.873,1.17996,1.17751,1.42959,0.93973,0.99518,0.995,0.72602,1.11092,0.76918,1.31139,0.000359,0.000359,0.000359
74,535.98,1.24679,1.31279,1.45099,0.93973,0.99518,0.995,0.72602,1.11092,0.76918,1.31139,0.000346625,0.000346625,0.000346625
75,543.346,1.1111,1.05062,1.41805,0.95383,0.99501,0.995,0.74396,1.01218,0.81474,1.25311,0.00033425,0.00033425,0.00033425
76,550.723,1.22398,1.16625,1.51072,0.95383,0.99501,0.995,0.74396,1.01218,0.81474,1.25311,0.000321875,0.000321875,0.000321875
77,557.937,1.22167,1.28189,1.46033,0.95383,0.99501,0.995,0.74396,1.01218,0.81474,1.25311,0.0003095,0.0003095,0.0003095
78,565.206,1.18658,1.13063,1.471,0.97123,0.99632,0.995,0.74619,1.03083,0.89463,1.287,0.000297125,0.000297125,0.000297125
79,572.458,1.16928,1.12458,1.41419,0.97123,0.99632,0.995,0.74619,1.03083,0.89463,1.287,0.00028475,0.00028475,0.00028475
80,579.864,1.03313,1.00954,1.32535,0.96619,0.99396,0.995,0.74336,1.06668,0.97873,1.32592,0.000272375,0.000272375,0.000272375
81,586.929,1.00678,0.98899,1.3233,0.96619,0.99396,0.995,0.74336,1.06668,0.97873,1.32592,0.00026,0.00026,0.00026
82,593.886,0.99245,0.94363,1.34335,0.96619,0.99396,0.995,0.74336,1.06668,0.97873,1.32592,0.000247625,0.000247625,0.000247625
83,600.949,1.08387,1.09538,1.34418,0.94341,0.99386,0.995,0.71955,1.0991,0.86171,1.34319,0.00023525,0.00023525,0.00023525
84,607.901,0.9814,1.13943,1.26259,0.94341,0.99386,0.995,0.71955,1.0991,0.86171,1.34319,0.000222875,0.000222875,0.000222875
85,615.292,1.08503,1.26256,1.34914,0.94341,0.99386,0.995,0.71955,1.0991,0.86171,1.34319,0.0002105,0.0002105,0.0002105
86,622.405,1.00931,0.98011,1.32044,0.95418,0.99355,0.995,0.70841,1.13652,0.80965,1.34236,0.000198125,0.000198125,0.000198125
87,629.498,1.02865,0.95999,1.36301,0.95418,0.99355,0.995,0.70841,1.13652,0.80965,1.34236,0.00018575,0.00018575,0.00018575
88,636.892,1.18068,0.9512,1.45271,0.94505,0.99344,0.995,0.71179,1.13814,0.81336,1.34745,0.000173375,0.000173375,0.000173375
89,643.988,1.1308,0.97499,1.33312,0.94505,0.99344,0.995,0.71179,1.13814,0.81336,1.34745,0.000161,0.000161,0.000161
90,651.102,1.20379,1.15528,1.39561,0.94505,0.99344,0.995,0.71179,1.13814,0.81336,1.34745,0.000148625,0.000148625,0.000148625
91,665.83,1.15525,0.90675,1.51196,0.97784,0.99414,0.995,0.70939,1.1049,0.83218,1.31468,0.00013625,0.00013625,0.00013625
92,672.882,1.04629,0.92126,1.425,0.97784,0.99414,0.995,0.70939,1.1049,0.83218,1.31468,0.000123875,0.000123875,0.000123875
93,680.106,1.0191,0.92903,1.33778,0.97784,0.99414,0.995,0.70939,1.1049,0.83218,1.31468,0.0001115,0.0001115,0.0001115
94,687.28,1.00713,0.8233,1.41419,0.9778,0.99432,0.995,0.72548,1.09643,0.78037,1.30767,9.9125e-05,9.9125e-05,9.9125e-05
95,694.301,1.10972,0.82262,1.43625,0.9778,0.99432,0.995,0.72548,1.09643,0.78037,1.30767,8.675e-05,8.675e-05,8.675e-05
96,701.47,1.05282,0.81856,1.44529,0.96871,0.99333,0.995,0.72502,1.09304,0.76562,1.303,7.4375e-05,7.4375e-05,7.4375e-05
97,708.887,1.09782,0.85602,1.45519,0.96871,0.99333,0.995,0.72502,1.09304,0.76562,1.303,6.2e-05,6.2e-05,6.2e-05
98,715.901,1.03964,0.82797,1.32211,0.96871,0.99333,0.995,0.72502,1.09304,0.76562,1.303,4.9625e-05,4.9625e-05,4.9625e-05
99,723.172,0.98833,0.79107,1.38503,0.96861,0.99361,0.995,0.70287,1.10011,0.77076,1.30652,3.725e-05,3.725e-05,3.725e-05
100,730.246,1.04227,0.77819,1.42851,0.96861,0.99361,0.995,0.70287,1.10011,0.77076,1.30652,2.4875e-05,2.4875e-05,2.4875e-05
